id;Tbf;Taf;raw.decrease;norm.decrease;normEBS.decrease;het.decrease;plateau_slope;maxfluo;well_pcr;sample;calib;pop;generation;ratio;plate_qpcr_id;competition;experiment_batch;setup;predicted_freq
plate1#J21;77.44;85.41;0.20781440148706;0.0639514607135292;0.144445616976442;0;0.000813230007914699;7.81667379700136;J21;G1-Z24;NA;Z24;1;NA;plate1;V8;RA;23&24;0.205140118963637
plate1#J22;77.67;85.27;0.850405766026942;0.805428978289397;0.841081851146341;0;0.00364664109487241;7.03289551063459;J22;8-75%;calib;8-75%;NA;75%;plate1;V8;NA;NA;0.76529186523697
plate1#J9;77.51;85.3;0.217161330571431;0.101983218045429;0.160558359310206;0;0.00453067332501847;7.76644916681626;J9;G1-Z23;NA;Z23;1;NA;plate1;V8;RA;23&24;0.226741585136296
plate1#K10;77.72;85.3;0.225550932787043;0.108052291022416;0.163278188760798;0;0;6.85451710254045;K10;G1-Z22;NA;Z22;1;NA;plate1;V8;VFP;22;0.230297274690843
plate1#K16;80.34;85.5;0;0;0;0;0;6.52259061874084;K16;20;NA;20;0;NA;plate1;V8;DW;20;-0.00550094891728664
plate1#K2;77.98;85.27;0.844993239426436;0.794426637809194;0.834844454246835;0;0.0024594190365406;8.461339483671;K2;8-75%;calib;8-75%;NA;75%;plate1;V8;NA;NA;0.758323406200688
plate1#L14;77.81;85.21;0.219979557669274;0.0883387666250917;0.14920429770527;0;0;6.4138296633708;L14;G1-N21;NA;N21;1;NA;plate1;V8;VFP;21;0.211613583852402
plate1#L19;77.72;85.39;0.207570996492633;0.0908812336326599;NA;0;0.0090203548761873;7.31047917106605;L19;23&24;NA;23&24;0;NA;plate1;V8;RA;23&24;NA
plate1#L21;77.58;85.47;0.210149877377131;0.0827062825801392;0.15495521747765;0;0.00269512152965036;8.96566668198116;L21;22;NA;22;0;NA;plate1;V8;VFP;22;0.219333552657367
plate1#L3;77.75;85.41;0.208445672207014;0.0946038777928744;0.157990628325299;0;0;9.68175609612451;L3;22;NA;22;0;NA;plate1;V8;VFP;22;0.223360661903911
plate1#M1;77.84;85.41;0.219204345690964;0.0911616504465893;0.157240885444562;0;0.0049376575933527;8.9859711353499;M1;G1-Z23;NA;Z23;1;NA;plate1;V8;RA;23&24;0.22236904105217
plate1#M10;77.75;85.27;0.206626755996246;0.0909457599446093;0.142750383809826;0;0;6.24145726037669;M10;G1-Z20;NA;Z20;1;NA;plate1;V8;DW;20;0.202816246707038
plate1#M3;77.98;85;0.495567894752497;0.375012679730945;0.452274251794928;0;0.00294492222798055;8.92434092764712;M3;8-50%;calib;8-50%;NA;50%;plate1;V8;NA;NA;0.507160888086598
plate1#M7;77.88;85.33;0.209564871372614;0.0827342640179924;0.159031812537731;0;0;7.22653502368904;M7;G1-Z24;NA;Z24;1;NA;plate1;V8;RA;23&24;0.224734417058628
plate1#N10;80.25;85.47;0;0;NA;0;0.00510154134444309;6.64338906467577;N10;8-0%;calib;8-0%;NA;0%;plate1;V8;NA;NA;NA
plate1#N4;77.47;84.19;1;1;1;0;0;9.41206568647975;N4;8-100%;calib;8-100%;NA;100%;plate1;V8;NA;NA;0.995889640434966
plate1#N5;77.81;85.33;0.226581129609435;0.0948969687440562;0.17563727522024;0;0.00188831706177547;9.64838587791336;N5;21;NA;21;0;NA;plate1;V8;VFP;21;0.246143702358172
plate2#A12;77.83;85.33;0.221261157649262;0.0943605855716986;0.160310162464933;0;0.00571065823468972;5.14190869562415;A12;G3-N21;NA;N21;3;NA;plate2;V8;VFP;21;0.226415809592554
plate2#A15;78;85;0.242337342336813;0.110406906497116;0.181822753037557;0;0;5.08904264551855;A15;G6-Z23;NA;Z23;6;NA;plate2;V8;RA;23&24;0.253903142169142
plate2#A16;78.06;85.36;0.233103010142561;0.104344666458062;0.166369231631832;0;0;5.1571709124773;A16;G3-N23;NA;N23;3;NA;plate2;V8;RA;23&24;0.234307134768133
plate2#A19;77.54;85;0.321654205614489;0.195006315297303;0.25609966895788;0;0.00785617222566245;5.53691572055656;A19;G6-N19;NA;N19;6;NA;plate2;V8;DW;19;0.340706927360796
plate2#A24;77.6;85.53;0.25606034879417;0.125807805191038;NA;0;0;5.08625226245708;A24;G3-Z24;NA;Z24;3;NA;plate2;V8;RA;23&24;NA
plate2#A3;77.74;85;0.254862291191854;0.134178741960197;0.192917043744656;0;0.0051671559451197;6.5269188776088;A3;G6-Z22;NA;Z22;6;NA;plate2;V8;VFP;22;0.267586019256182
plate2#A5;77.83;85.36;0.250935582368139;0.120050279534592;0.19376210646855;0;0.00556391339032863;5.79055439106382;A5;G6-Z24;NA;Z24;6;NA;plate2;V8;RA;23&24;0.268617223994833
plate2#B1;77.57;85.47;0.24681106579104;0.111405193216682;0.16993677001972;0;0;5.75750076438376;B1;G6-N20;NA;N20;6;NA;plate2;V8;DW;20;0.238895460126704
plate2#B14;77.6;85.04;0.243734828934777;0.0986246049333366;0.173704902965154;0;0;5.67689957573711;B14;G3-Z19;NA;Z19;3;NA;plate2;V8;DW;19;0.243697684740396
plate2#B15;77.47;85.27;0.259725882949106;0.118442365943366;0.196036253842458;0;0.0159714083632898;4.47867860943626;B15;G3-Z22;NA;Z22;3;NA;plate2;V8;VFP;22;0.271385078654695
plate2#B20;77.07;85.27;0.312908242630687;0.15738515804916;0.249801979337233;0;0;6.58803325524899;B20;G6-Z24;NA;Z24;6;NA;plate2;V8;RA;23&24;0.333793622609199
plate2#B9;77.23;85.04;0.285378981623946;0.110641899543193;0.216931681195773;0;0.00283056455909078;4.78244024695455;B9;G6-Z21;NA;Z21;6;NA;plate2;V8;VFP;21;0.296340211017298
